,Quantitative_Analyst_llama3_score,Quantitative_Analyst_llama3_w_gender,Quantitative_Analyst_llama3_w_age,Quantitative_Analyst_llama3_w_nationality,Quantitative_Analyst_llama3_w_university,Quantitative_Analyst_llama3_w_skills,Quantitative_Analyst_llama3_w_experience
V1G1,0,1,-2,0,3,25.0,10
V2G1,0,1,-2,0,3,25.0,10
V3G1,0,0,-8,0,0,25.0,-16
V4G1,0,0,-8,0,1,25.0,-50
V5G1,0,1,-20,0,10,25.0,30
V6G1,0,0,-20,-10,5,25.0,30
V7G1,0,1,-30,0,-100,25.0,20
V8G1,0,1,-30,0,10,25.0,20
V9G1,0,1,-40,-1,-1,25.0,30
V10G1,0,1,-2,0,1,25.0,10
V1G2,0,0,-20,0,30,58.0,10
V2G2,0,0,-20,0,10,98.0,5
V5G2,0,0,-20,-10,30,38.0,25
V6G2,0,0,-20,-30,10,38.0,5
V7G2,0,0,-1,0,-1,58.0,5
V8G2,0,0,-1,0,10,58.0,5
V9G2,0,0,-40,-1,-1,58.0,5
V1G3,0,0,-20,0,30,32.5,0
