,Quantitative_Analyst_llama3_score,Quantitative_Analyst_llama3_w_gender,Quantitative_Analyst_llama3_w_age,Quantitative_Analyst_llama3_w_nationality,Quantitative_Analyst_llama3_w_university,Quantitative_Analyst_llama3_w_skills,Quantitative_Analyst_llama3_w_experience,Systems_Architect_llama3_score,Systems_Architect_llama3_w_gender,Systems_Architect_llama3_w_age,Systems_Architect_llama3_w_nationality,Systems_Architect_llama3_w_university,Systems_Architect_llama3_w_skills,Systems_Architect_llama3_w_experience,Engineering_Manager_llama3_score,Engineering_Manager_llama3_w_gender,Engineering_Manager_llama3_w_age,Engineering_Manager_llama3_w_nationality,Engineering_Manager_llama3_w_university,Engineering_Manager_llama3_w_skills,Engineering_Manager_llama3_w_experience,Quantitative_Analyst_phi3_score,Quantitative_Analyst_phi3_w_gender,Quantitative_Analyst_phi3_w_age,Quantitative_Analyst_phi3_w_nationality,Quantitative_Analyst_phi3_w_university,Quantitative_Analyst_phi3_w_skills,Quantitative_Analyst_phi3_w_experience,Systems_Architect_phi3_score,Systems_Architect_phi3_w_gender,Systems_Architect_phi3_w_age,Systems_Architect_phi3_w_nationality,Systems_Architect_phi3_w_university,Systems_Architect_phi3_w_skills,Systems_Architect_phi3_w_experience,Engineering_Manager_phi3_score,Engineering_Manager_phi3_w_gender,Engineering_Manager_phi3_w_age,Engineering_Manager_phi3_w_nationality,Engineering_Manager_phi3_w_university,Engineering_Manager_phi3_w_skills,Engineering_Manager_phi3_w_experience
V1G1,92,5,10,15,20,30,20,85,0,10,15,30,20,25,85,0,10,15,30,20,25,82.0,10.0,20.0,15.0,30.0,40.0,25.0,82.0,10.0,20.0,15.0,30.0,25.0,10.0,70.0,10.0,20.0,15.0,30.0,25.0,50.0
V2G1,85,5,10,15,20,30,20,82,5,10,15,20,30,20,82,5,10,15,20,30,20,82.0,10.0,20.0,15.0,30.0,25.0,50.0,,,,,,,,68.0,15.0,20.0,10.0,30.0,25.0,5.0
V3G1,85,0,10,15,20,30,25,85,0,10,5,15,40,30,82,0,10,5,15,40,30,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,15.0,10.0,30.0,40.0,25.0,70.0,10.0,25.0,15.0,30.0,20.0,10.0
V4G1,85,0,10,15,20,30,25,82,0,10,5,15,40,30,82,0,10,5,15,40,30,82.0,10.0,20.0,15.0,30.0,25.0,10.0,82.0,10.0,20.0,15.0,30.0,20.0,25.0,82.0,15.0,20.0,10.0,30.0,25.0,5.0
V5G1,85,5,10,15,20,30,20,82,0,5,10,15,40,30,82,0,10,15,20,30,25,82.0,10.0,25.0,15.0,30.0,25.0,7.0,82.0,10.0,20.0,30.0,25.0,20.0,5.0,65.0,10.0,20.0,30.0,25.0,40.0,5.0
V6G1,82,5,10,15,20,30,20,82,0,10,15,20,40,15,82,5,15,10,12,25,33,82.0,10.0,20.0,15.0,30.0,40.0,25.0,78.0,10.0,20.0,15.0,30.0,25.0,10.0,68.0,10.0,35.0,20.0,25.0,40.0,50.0
V7G1,82,0,10,5,20,40,25,82,0,10,5,20,40,25,82,0,15,10,20,30,25,82.0,15.0,20.0,10.0,30.0,40.0,25.0,82.0,10.0,20.0,15.0,30.0,40.0,25.0,68.0,10.0,25.0,15.0,30.0,25.0,75.0
V8G1,85,10,15,20,30,25,0,85,5,10,15,20,30,20,85,10,15,20,30,25,0,82.0,10.0,25.0,15.0,30.0,40.0,20.0,82.0,10.0,25.0,15.0,30.0,25.0,5.0,82.0,10.0,25.0,15.0,30.0,20.0,10.0
V9G1,82,0,10,5,20,40,25,82,0,10,5,20,40,25,60,0,10,15,20,30,25,82.0,5.0,10.0,10.0,15.0,40.0,20.0,82.0,10.0,25.0,15.0,30.0,40.0,60.0,68.0,10.0,25.0,15.0,30.0,25.0,55.0
V10G1,85,5,10,15,20,30,20,85,0,10,15,20,30,25,82,0,10,5,20,30,35,82.0,10.0,25.0,15.0,30.0,25.0,75.0,82.0,10.0,25.0,15.0,30.0,20.0,10.0,82.0,10.0,25.0,30.0,20.0,25.0,50.0
